GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC08,HC01_EST_VC09,HC01_EST_VC10,HC01_EST_VC11,HC01_EST_VC12,HC01_EST_VC13,HC01_EST_VC14,HC01_EST_VC15,HC01_EST_VC16,HC01_EST_VC17,HC01_EST_VC18,HC01_EST_VC19,HC01_EST_VC20,HD01_VD10,HD01_VD01,HC05_EST_VC02,HC01_EST_VC02,HC02_EST_VC11,HC02_EST_VC18,HC01_EST_VC07,HC02_EST_VC02,HC02_EST_VC22,HC01_EST_VC01,HC03_EST_VC01,HC03_EST_VC37,HC03_EST_VC41,HC03_EST_VC45,HC03_EST_VC49,HD01_VD01,HD01_VD05,HD01_VD06,HD01_VD07,HD01_VD08,HD01_VD09,HD01_VD06,HD01_VD07
Id,Id2,Geography,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Estimate; Public transportation (excluding taxicab):,Estimate; Total:,Nonfamily household; Estimate; Total households,Total; Estimate; Total households,Married-couple family household; Estimate; AGE OF OWN CHILDREN - Households with own children of the householder under 18 years - Under 6 years only,Percent; Estimate; Percent bachelors degree or higher,Total; Estimate; Population 25 years and over,Median income (dollars); Estimate; Households,Median income (dollars); Estimate; FAMILIES - Families,Occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,"Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $20,000 to $34,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $35,000 to $49,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 30 percent or more",Estimate; Median value (dollars),Estimate; Total: - 3 or 4,Estimate; Total: - 5 to 9,Estimate; Total: - 10 to 19,Estimate; Total: - 20 to 49,Estimate; Total: - 50 or more,Estimate; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available
1400000US53033000100,53033000100,"Census Tract 1, King County, Washington",10.8,12.2,5,7.8,5.1,5.8,5.9,7.2,4.8,3.3,1.6,1.6,1.2,685,3448,1971,3400,35.3,45,4454,44951,79896,3400,2319,18.8,6,1.4,0,410700,269,93,322,419,1336,337,68
1400000US53033000200,53033000200,"Census Tract 2, King County, Washington",11.5,7.2,5.5,6,5.9,7.5,7,8,5.2,3.5,3,1.3,2.2,699,4007,1510,3572,26.4,52.7,5782,56208,69870,3572,1655,19.2,9.4,13.8,0,342400,97,117,380,467,492,353,30
1400000US53033000300,53033000300,"Census Tract 3, King County, Washington",10.7,8.4,7.7,8,4.7,7.4,8.1,5.2,5.6,2.7,0.9,2.8,0.5,309,1403,486,1087,35.4,33.1,1919,64297,87604,1087,479,20.7,9.4,3.1,3.8,336300,27,37,88,34,15,127,16
1400000US53033000401,53033000401,"Census Tract 4.01, King County, Washington",9,10.4,11,4.1,6,3.5,5.6,5.7,3.8,4.4,4.9,4.2,3.5,385,2691,2140,3301,51.4,39.4,4491,32472,57019,3301,2324,24.6,4.4,3.3,0,291400,88,114,229,489,1948,93,36
1400000US53033000402,53033000402,"Census Tract 4.02, King County, Washington",9.3,6.7,5.2,7.1,8.6,5.8,6,9.3,7.2,2.4,3.1,2.4,11.2,406,2644,1368,2299,35.4,53.3,3542,62726,105446,2299,1251,29.5,7.4,5.9,2.7,405400,84,209,242,291,302,340,70
1400000US53033000500,53033000500,"Census Tract 5, King County, Washington",1.5,3.2,6,8.2,6.2,7.9,10.8,12.9,6.7,3.6,5.4,1.1,3.9,148,1537,295,1246,35.8,70.8,2542,125400,145388,1246,63,0,0,0,0,568400,0,0,0,0,0,211,61
1400000US53033000600,53033000600,"Census Tract 6, King County, Washington",12,9.1,10,5.9,5.5,5.2,6.8,7.2,5.5,3.8,1.3,1.1,2.2,788,4272,1529,3345,57.9,46,5608,60131,68884,3345,1595,7,6.8,8.1,0,365000,68,139,104,806,212,317,118
1400000US53033000700,53033000700,"Census Tract 7, King County, Washington",11.5,7.9,4.6,8.8,4.8,5.2,4.5,8.5,6.3,2.9,1.6,1.6,0.4,765,2768,1106,2169,43.3,51.7,3505,51741,74917,2169,1087,16.9,8.8,2.3,0,323700,103,214,424,244,172,148,74
1400000US53033000800,53033000800,"Census Tract 8, King County, Washington",6,3.2,8.4,7,7.8,7,12.2,8.8,4.2,3.6,2.5,2.6,2.9,228,1376,354,1020,37.1,59.7,2270,87222,118839,1020,269,13,2.6,13.4,8.9,419900,0,0,26,38,0,163,12
