,Unnamed: 0,Id,Geography,City,Percentage: Public transportation (excluding taxicab),Percentage: Nonfamily household,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Percentage: Renter-occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more, 3 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_home_price_distribution_2015,def_2
130,130,53033020100,"Census Tract 201, King County, Washington",Shoreline,9,33,269.0,57.8,2407.0,93235,12,42.6,480700,22,107,275,0.82,2015,,-0.29999999999999716,-81400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
131,131,53033020200,"Census Tract 202, King County, Washington",Shoreline,11,34,470.0,51.5,4046.0,72028,29,42.5,395700,25,518,605,0.75,2015,,-5.699999999999999,-76200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
132,132,53033020300,"Census Tract 203, King County, Washington",Shoreline,18,48,425.0,38.0,3929.0,58182,59,36.4,310900,21,1472,439,0.63,2015,,-3.1999999999999957,-37800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
133,133,53033020401,"Census Tract 204.01, King County, Washington",Shoreline,11,44,291.0,36.8,2565.0,61330,37,34.5,298200,182,230,281,0.72,2015,,0.6000000000000014,-124900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
134,134,53033020402,"Census Tract 204.02, King County, Washington",Lake Forest Park,13,28,515.0,39.4,3844.0,71758,27,31.4,341300,154,378,357,0.75,2015,,5.5,-78400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
135,135,53033020500,"Census Tract 205, King County, Washington",Shoreline,13,38,526.0,43.7,4516.0,66786,38,26.3,287300,122,688,488,0.65,2015,,-6.900000000000002,25500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
136,136,53033020600,"Census Tract 206, King County, Washington",Shoreline,14,34,294.0,32.3,2502.0,72500,25,29.2,328300,0,71,343,0.59,2015,,3.8999999999999986,-108700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
137,137,53033020700,"Census Tract 207, King County, Washington",Shoreline,20,42,204.0,31.1,2591.0,56141,52,26.3,295300,82,527,237,0.61,2015,,-3.6999999999999993,-3800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
138,138,53033020800,"Census Tract 208, King County, Washington",Shoreline,12,33,397.0,60.5,3065.0,82344,24,28.4,416700,0,352,463,0.82,2015,,-5.499999999999998,1100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
139,139,53033020900,"Census Tract 209, King County, Washington",Shoreline,15,41,261.0,50.8,2382.0,63819,32,22.0,377500,7,431,380,0.76,2015,,-3.0,12200.0,NotEligibleForGentrification,true,HaveGentrified
140,140,53033021000,"Census Tract 210, King County, Washington",Shoreline,12,33,372.0,36.0,3824.0,74048,31,27.3,343300,51,252,468,0.59,2015,,2.9000000000000057,-158000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
141,141,53033021100,"Census Tract 211, King County, Washington",Shoreline,15,42,282.0,32.4,2783.0,70137,45,24.9,295500,0,357,322,0.55,2015,,0.10000000000000142,700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
142,142,53033021300,"Census Tract 213, King County, Washington",Lake Forest Park,11,48,285.0,57.3,2818.0,67438,44,28.4,457700,108,536,267,0.73,2015,,-1.0,-84800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
143,143,53033021400,"Census Tract 214, King County, Washington",Lake Forest Park,12,25,295.0,53.8,2735.0,99861,15,37.0,421900,0,0,492,0.83,2015,,2.8999999999999986,-42400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
144,144,53033021500,"Census Tract 215, King County, Washington",Lake Forest Park,9,21,403.0,59.9,3239.0,108750,13,54.8,455900,0,51,443,0.84,2015,,8.100000000000001,1500.0,HaveGentrified,false,NotCurrentlyGentrifying
145,145,53033021600,"Census Tract 216, King County, Washington",Kenmore,6,27,417.0,46.6,3296.0,96066,28,42.1,395600,171,235,385,0.76,2015,,-6.399999999999999,-76800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
146,146,53033021700,"Census Tract 217, King County, Washington",Kenmore,11,38,976.0,45.5,4862.0,73456,41,30.3,368100,84,1477,608,0.65,2015,,0.10000000000000142,-115800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
147,147,53033021802,"Census Tract 218.02, King County, Washington",Bothell,5,36,667.0,50.4,3528.0,87922,38,40.4,385100,0,561,364,0.73,2015,,-3.8000000000000007,-71900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
148,148,53033021803,"Census Tract 218.03, King County, Washington",Bothell,8,34,412.0,44.9,2969.0,74856,40,20.4,381700,117,720,402,0.75,2015,,3.1000000000000014,17200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
149,149,53033021804,"Census Tract 218.04, King County, Washington",Bothell,6,33,483.0,40.8,2872.0,72422,35,43.3,379600,35,529,454,0.72,2015,,0.09999999999999964,121700.0,NotEligibleForGentrification,true,HaveGentrified
151,151,53033021904,"Census Tract 219.04, King County, Washington",Kingsgate,9,26,513.0,43.2,3464.0,89615,33,26.9,401200,55,410,414,0.59,2015,,4.600000000000001,-47200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
152,152,53033021905,"Census Tract 219.05, King County, Washington",Kingsgate,10,30,387.0,50.1,3565.0,92614,16,37.1,289300,191,552,420,0.71,2015,,-2.0,37900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
153,153,53033021906,"Census Tract 219.06, King County, Washington",Woodinville,5,31,472.0,48.6,2737.0,81250,26,42.8,358800,47,527,263,0.73,2015,,0.10000000000000142,-62500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
154,154,53033022001,"Census Tract 220.01, King County, Washington",Kenmore,3,40,420.0,46.8,3295.0,70591,46,44.6,391300,53,903,389,0.77,2015,,3.599999999999998,-35700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
155,155,53033022003,"Census Tract 220.03, King County, Washington",Inglewood Finn Hil,10,36,490.0,42.4,3693.0,75662,31,40.6,357900,89,286,454,0.74,2015,,0.8999999999999986,-39000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
160,160,53033022201,"Census Tract 222.01, King County, Washington",Inglewood Finn Hil,13,33,422.0,42.4,2902.0,78409,32,33.0,354200,108,289,433,0.83,2015,,-10.600000000000001,-221400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
161,161,53033022202,"Census Tract 222.02, King County, Washington",Inglewood Finn Hil,9,38,698.0,53.7,5500.0,82009,45,26.5,352500,82,1507,645,0.72,2015,,-3.0,21800.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
162,162,53033022203,"Census Tract 222.03, King County, Washington",Inglewood Finn Hil,8,23,539.0,59.7,3474.0,121759,20,28.3,503100,55,211,631,0.81,2015,,0.5999999999999979,53000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
163,163,53033022300,"Census Tract 223, King County, Washington",Inglewood Finn Hil,7,17,276.0,72.6,2065.0,113958,3,26.9,625900,0,0,287,0.8,2015,,-2.5,-67400.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
173,173,53033022801,"Census Tract 228.01, King County, Washington",Beaux Art Village,18,41,997.0,76.7,6367.0,88160,64,18.1,576100,407,2461,380,0.37,2015,,-1.6999999999999993,-41500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
176,176,53033022901,"Census Tract 229.01, King County, Washington",Beaux Art Village,8,21,265.0,63.4,2362.0,123000,20,5.4,488000,0,0,232,0.66,2015,,3.1000000000000014,173000.0,NotEligibleForGentrification,true,HaveGentrified
177,177,53033022902,"Census Tract 229.02, King County, Washington",Beaux Art Village,3,25,772.0,73.0,4345.0,120731,31,16.3,589700,133,653,528,0.65,2015,,-3.8000000000000007,-115100.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
178,178,53033023000,"Census Tract 230, King County, Washington",Beaux Art Village,9,21,517.0,56.5,3709.0,104013,10,36.2,533200,0,11,483,0.72,2015,,10.200000000000003,-78300.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
179,179,53033023100,"Census Tract 231, King County, Washington",Beaux Art Village,11,25,435.0,56.5,2732.0,92283,25,38.1,537600,62,56,312,0.61,2015,,-2.799999999999997,-95600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
180,180,53033023201,"Census Tract 232.01, King County, Washington",Beaux Art Village,29,41,778.0,72.0,4214.0,78119,70,26.1,391900,86,1947,200,0.33,2015,,0.5,103500.0,NotEligibleForGentrification,true,HaveGentrified
181,181,53033023202,"Census Tract 232.02, King County, Washington",Beaux Art Village,13,48,418.0,39.7,2861.0,46719,70,38.0,350000,227,1146,156,0.36,2015,,2.1000000000000014,-129900.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
182,182,53033023300,"Census Tract 233, King County, Washington",Beaux Art Village,12,29,477.0,49.2,4149.0,76500,23,41.0,403900,85,134,684,0.74,2015,,0.09999999999999787,-56600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
183,183,53033023401,"Census Tract 234.01, King County, Washington",Beaux Art Village,9,39,319.0,64.0,2298.0,71269,44,15.4,398100,60,440,220,0.5,2015,,-2.5999999999999996,74600.0,NotEligibleForGentrification,true,HaveGentrified
184,184,53033023403,"Census Tract 234.03, King County, Washington",Beaux Art Village,9,28,404.0,58.8,2877.0,93387,24,21.1,546400,8,272,360,0.67,2015,,2.6000000000000014,-66600.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
185,185,53033023404,"Census Tract 234.04, King County, Washington",Bellevue,6,18,412.0,74.1,2231.0,146875,13,10.3,560700,7,196,435,0.79,2015,,-0.8000000000000007,-2900.0,NotEligibleForGentrification,true,HaveGentrified
186,186,53033023500,"Census Tract 235, King County, Washington",Beaux Art Village,6,30,445.0,62.8,2543.0,110568,22,25.2,591600,136,196,294,0.62,2015,,7.599999999999998,-71000.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
187,187,53033023601,"Census Tract 236.01, King County, Washington",Beaux Art Village,11,40,301.0,64.9,2575.0,78155,47,33.0,461000,70,816,135,0.52,2015,,2.3000000000000007,-42500.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
