Id,Geography,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Percentage: Public transportation (excluding taxicab),Estimate; Public transportation (excluding taxicab):,Estimate; Total:,Percentage: Nonfamily household,Nonfamily household; Estimate; Total households,Total; Estimate; Total households,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Median income - families,Percentage: Renter-occupied housing units,Occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,"Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $20,000 to $34,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $35,000 to $49,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 30 percent or more",Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more,Estimate; Total: - 5 to 9,Estimate; Total: - 10 to 19,Estimate; Total: - 20 to 49,Estimate; Total: - 50 or more, 3 or more vehicles available,Estimate; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Estimate; Not Hispanic or Latino: - White alone,Estimate; Total:.1,Year,increase_in_edu_attainment_2015,increase_in_house_value_2015,def1,inflation_adj_median_house_value,increase_in_home_price_distribution_2015,def2,NEIGH_NUM,Neighborhood,SHAPE_ar_1,SHAPE_le_1
53033000100,"Census Tract 1, King County, Washington",10.8,12.2,5.0,7.8,5.1,5.8,5.9,7.2,4.8,3.3,1.6,1.6,1.2,0.2,685,3448,0.58,1971,3400,504.0,45.0,4454.0,44951,79896,0.68,3400,2319,26.2,18.8,6.0,1.4,0.0,410700,269,2170,93,322,419,1336.0,405,337.0,68.0,0.58,3987,6918,2015,-1.9,-126384.0,NotEligibleForGentrification,,False,NotCurrentlyGentrifying,43.0,Victory Heights,21532244.16,20789.44707
53033000100,"Census Tract 1, King County, Washington",14.5,12.4,6.3,7.0,8.3,8.8,8.8,2.9,1.6,2.2,1.6,1.5,1.1,0.22,755,3489,0.59,1836,3110,,46.9,,47518,1274,0.71,3110,2218,625.0,230.0,129.0,31.0,235.0,497300,111,1967,340,286,1341,,290,,,0.58,3330,5784,2010,,,NotEligibleForGentrification,537084.0,,NotCurrentlyGentrifying,43.0,Victory Heights,21532244.16,20789.44707
53033000200,"Census Tract 2, King County, Washington",11.5,7.2,5.5,6.0,5.9,7.5,7.0,8.0,5.2,3.5,3.0,1.3,2.2,0.17,699,4007,0.42,1510,3572,473.0,52.7,5782.0,56208,69870,0.46,3572,1655,42.4,19.2,9.4,13.8,0.0,342400,97,1456,117,380,467,492.0,383,353.0,30.0,0.57,4520,7974,2015,3.4,-44996.0,EligibleForGentrification,,False,NotCurrentlyGentrifying,64.0,Pinehurst,29512390.24,26228.12544
53033000200,"Census Tract 2, King County, Washington",9.7,7.6,7.0,7.8,7.9,9.5,7.4,4.5,3.9,2.3,2.4,2.4,2.9,0.15,621,4075,0.48,1734,3633,,49.3,,54797,1899,0.44,3633,1615,554.0,254.0,15.0,92.0,193.0,358700,160,1433,286,168,979,,398,,,0.7,5383,7682,2010,,,NotEligibleForGentrification,387396.0,,NotCurrentlyGentrifying,64.0,Pinehurst,29512390.24,26228.12544
53033000300,"Census Tract 3, King County, Washington",10.7,8.4,7.7,8.0,4.7,7.4,8.1,5.2,5.6,2.7,0.9,2.8,0.5,0.22,309,1403,0.45,486,1087,147.0,33.1,1919.0,64297,87604,0.44,1087,479,37.0,20.7,9.4,3.1,3.8,336300,27,174,37,88,34,15.0,143,127.0,16.0,0.71,1880,2637,2015,-4.9,-37920.0,EligibleForGentrification,,False,NotCurrentlyGentrifying,64.0,Pinehurst,29512390.24,26228.12544
53033000300,"Census Tract 3, King County, Washington",5.1,4.6,13.1,7.5,10.2,10.8,5.7,6.2,2.4,4.6,1.6,1.1,2.4,0.15,206,1399,0.37,387,1054,,38.0,,61966,667,0.24,1054,257,191.0,92.0,17.0,48.0,34.0,346500,0,81,52,29,0,,182,,,0.73,1856,2548,2010,,,NotEligibleForGentrification,374220.0,,NotCurrentlyGentrifying,64.0,Pinehurst,29512390.24,26228.12544
53033000401,"Census Tract 4.01, King County, Washington",9.0,10.4,11.0,4.1,6.0,3.5,5.6,5.7,3.8,4.4,4.9,4.2,3.5,0.14,385,2691,0.65,2140,3301,177.0,39.4,4491.0,32472,57019,0.7,3301,2324,32.3,24.6,4.4,3.3,0.0,291400,88,2780,114,229,489,1948.0,129,93.0,36.0,0.55,3238,5907,2015,9.8,-78068.0,EligibleForGentrification,,False,NotCurrentlyGentrifying,50.0,Broadview,48882319.46,35071.12933
53033000401,"Census Tract 4.01, King County, Washington",10.3,8.4,4.7,9.2,5.1,5.6,9.3,6.2,3.5,2.2,4.2,5.5,3.3,0.09,231,2474,0.63,1825,2913,,29.6,,35095,1088,0.7,2913,2030,675.0,364.0,108.0,21.0,182.0,342100,88,2325,108,262,1955,,195,,,0.62,3607,5805,2010,,,NotEligibleForGentrification,369468.0,,NotCurrentlyGentrifying,50.0,Broadview,48882319.46,35071.12933
53033000402,"Census Tract 4.02, King County, Washington",9.3,6.7,5.2,7.1,8.6,5.8,6.0,9.3,7.2,2.4,3.1,2.4,11.2,0.15,406,2644,0.6,1368,2299,274.0,53.3,3542.0,62726,105446,0.54,2299,1251,45.5,29.5,7.4,5.9,2.7,405400,84,1044,209,242,291,302.0,410,340.0,70.0,0.77,3767,4906,2015,12.5,-12992.0,HaveGentrified,,False,NotCurrentlyGentrifying,50.0,Broadview,48882319.46,35071.12933
53033000402,"Census Tract 4.02, King County, Washington",4.8,8.5,8.7,4.1,7.8,8.0,5.7,2.2,3.9,2.5,3.6,3.9,12.2,0.15,312,2115,0.5,1146,2275,,40.8,,45183,1129,0.57,2275,1291,598.0,347.0,106.0,62.0,83.0,387400,0,1073,165,217,691,,188,,,0.75,3495,4662,2010,,,NotEligibleForGentrification,418392.0,,NotCurrentlyGentrifying,50.0,Broadview,48882319.46,35071.12933
53033000500,"Census Tract 5, King County, Washington",1.5,3.2,6.0,8.2,6.2,7.9,10.8,12.9,6.7,3.6,5.4,1.1,3.9,0.1,148,1537,0.24,295,1246,243.0,70.8,2542.0,125400,145388,0.05,1246,63,0.0,0.0,0.0,0.0,0.0,568400,0,0,0,0,0,0.0,272,211.0,61.0,0.86,2625,3044,2015,8.5,-75388.0,NotEligibleForGentrification,,False,NotCurrentlyGentrifying,26.0,North Beach/Blue Ridge,31356071.87,33050.13447
