Id,Geography,Total; Estimate; AGE - 25 to 29 years,Total; Estimate; AGE - 30 to 34 years,Total; Estimate; AGE - 35 to 39 years,Total; Estimate; AGE - 40 to 44 years,Total; Estimate; AGE - 45 to 49 years,Total; Estimate; AGE - 50 to 54 years,Total; Estimate; AGE - 55 to 59 years,Total; Estimate; AGE - 60 to 64 years,Total; Estimate; AGE - 65 to 69 years,Total; Estimate; AGE - 70 to 74 years,Total; Estimate; AGE - 75 to 79 years,Total; Estimate; AGE - 80 to 84 years,Total; Estimate; AGE - 85 years and over,Percentage: Public transportation (excluding taxicab),Estimate; Public transportation (excluding taxicab):,Estimate; Total:,Percentage: Nonfamily household,Nonfamily household; Estimate; Total households,Total; Estimate; Total households,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Median income - families,Percentage: Renter-occupied housing units,Occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; Estimate; Occupied housing units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,"Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $20,000 to $34,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $35,000 to $49,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $50,000 to $74,999 - 30 percent or more","Renter-occupied housing units; Estimate; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - $75,000 or more - 30 percent or more",Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more,Estimate; Total: - 5 to 9,Estimate; Total: - 10 to 19,Estimate; Total: - 20 to 49,Estimate; Total: - 50 or more, 3 or more vehicles available,Estimate; Total: - 3 vehicles available,Estimate; Total: - 4 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Estimate; Not Hispanic or Latino: - White alone,Estimate; Total:.1,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def1,increase_in_home_price_distribution_2015,def2,increase_in_workers_taking_transit_2015,def3,increase_in_non_family_households_2015,dwelling_units_5_or_more_2015,dwelling_units_3_or_4_2015,increase_in_renter_occupied_housing_units_2015,increase_in_vehicles_3_or_more,zip,res_ratio,bus_ratio,oth_ratio,tot_ratio,CRA_NO,Neighborhood
53033000100.0,"Census Tract 1, King County, Washington",10.8,12.2,5.0,7.8,5.1,5.8,5.9,7.2,4.8,3.3,1.6,1.6,1.2,20.0,685.0,3448.0,57.99999999999999,1971.0,3400.0,504.0,45.0,4454.0,44951.0,79896,68.0,3400.0,2319.0,26.2,18.8,6.0,1.4,0.0,410700.0,269.0,2170.0,93.0,322.0,419.0,1336.0,405.0,337.0,68.0,0.58,3987.0,6918.0,2015.0,,-1.8999999999999984,-126384.0,NotEligibleForGentrification,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,False,True,True,False,True,98165,0.18855218899999998,0.5816993460000001,0.0013368979999999998,0.204244032,,
53033000100.0,"Census Tract 1, King County, Washington",10.8,12.2,5.0,7.8,5.1,5.8,5.9,7.2,4.8,3.3,1.6,1.6,1.2,20.0,685.0,3448.0,57.99999999999999,1971.0,3400.0,504.0,45.0,4454.0,44951.0,79896,68.0,3400.0,2319.0,26.2,18.8,6.0,1.4,0.0,410700.0,269.0,2170.0,93.0,322.0,419.0,1336.0,405.0,337.0,68.0,0.58,3987.0,6918.0,2015.0,,-1.8999999999999984,-126384.0,NotEligibleForGentrification,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,False,True,True,False,True,98155,0.009902951,0.011437908,0.06684492,0.016695272,,
53033000100.0,"Census Tract 1, King County, Washington",10.8,12.2,5.0,7.8,5.1,5.8,5.9,7.2,4.8,3.3,1.6,1.6,1.2,20.0,685.0,3448.0,57.99999999999999,1971.0,3400.0,504.0,45.0,4454.0,44951.0,79896,68.0,3400.0,2319.0,26.2,18.8,6.0,1.4,0.0,410700.0,269.0,2170.0,93.0,322.0,419.0,1336.0,405.0,337.0,68.0,0.58,3987.0,6918.0,2015.0,,-1.8999999999999984,-126384.0,NotEligibleForGentrification,False,NotCurrentlyGentrifying,False,NotInDangerOfGentrifying,False,True,True,False,True,98125,0.80154486,0.406862745,0.931818182,0.7790606959999999,,
53033000100.0,"Census Tract 1, King County, Washington",14.5,12.4,6.3,7.0,8.3,8.8,8.8,2.9,1.6,2.2,1.6,1.5,1.1,22.0,755.0,3489.0,59.0,1836.0,3110.0,,46.9,,47518.0,1274,71.0,3110.0,2218.0,625.0,230.0,129.0,31.0,235.0,497300.0,111.0,1967.0,340.0,286.0,1341.0,,290.0,,,0.58,3330.0,5784.0,2010.0,537084.0,,,None,,None,,None,,,,,,98165,0.18855218899999998,0.5816993460000001,0.0013368979999999998,0.204244032,,
53033000100.0,"Census Tract 1, King County, Washington",14.5,12.4,6.3,7.0,8.3,8.8,8.8,2.9,1.6,2.2,1.6,1.5,1.1,22.0,755.0,3489.0,59.0,1836.0,3110.0,,46.9,,47518.0,1274,71.0,3110.0,2218.0,625.0,230.0,129.0,31.0,235.0,497300.0,111.0,1967.0,340.0,286.0,1341.0,,290.0,,,0.58,3330.0,5784.0,2010.0,537084.0,,,None,,None,,None,,,,,,98155,0.009902951,0.011437908,0.06684492,0.016695272,,
53033000100.0,"Census Tract 1, King County, Washington",14.5,12.4,6.3,7.0,8.3,8.8,8.8,2.9,1.6,2.2,1.6,1.5,1.1,22.0,755.0,3489.0,59.0,1836.0,3110.0,,46.9,,47518.0,1274,71.0,3110.0,2218.0,625.0,230.0,129.0,31.0,235.0,497300.0,111.0,1967.0,340.0,286.0,1341.0,,290.0,,,0.58,3330.0,5784.0,2010.0,537084.0,,,None,,None,,None,,,,,,98125,0.80154486,0.406862745,0.931818182,0.7790606959999999,,
53033000200.0,"Census Tract 2, King County, Washington",11.5,7.2,5.5,6.0,5.9,7.5,7.0,8.0,5.2,3.5,3.0,1.3,2.2,17.0,699.0,4007.0,42.0,1510.0,3572.0,473.0,52.7,5782.0,56208.0,69870,46.0,3572.0,1655.0,42.4,19.2,9.4,13.8,0.0,342400.0,97.0,1456.0,117.0,380.0,467.0,492.0,383.0,353.0,30.0,0.57,4520.0,7974.0,2015.0,,3.4000000000000057,-44996.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,False,True,False,True,False,98125,0.988706642,0.99047619,0.972093023,0.987868284,,
53033000200.0,"Census Tract 2, King County, Washington",11.5,7.2,5.5,6.0,5.9,7.5,7.0,8.0,5.2,3.5,3.0,1.3,2.2,17.0,699.0,4007.0,42.0,1510.0,3572.0,473.0,52.7,5782.0,56208.0,69870,46.0,3572.0,1655.0,42.4,19.2,9.4,13.8,0.0,342400.0,97.0,1456.0,117.0,380.0,467.0,492.0,383.0,353.0,30.0,0.57,4520.0,7974.0,2015.0,,3.4000000000000057,-44996.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,False,True,False,True,False,98155,0.011293358,0.00952381,0.027906977000000003,0.012131716,,
53033000200.0,"Census Tract 2, King County, Washington",9.7,7.6,7.0,7.8,7.9,9.5,7.4,4.5,3.9,2.3,2.4,2.4,2.9,15.0,621.0,4075.0,48.0,1734.0,3633.0,,49.3,,54797.0,1899,44.0,3633.0,1615.0,554.0,254.0,15.0,92.0,193.0,358700.0,160.0,1433.0,286.0,168.0,979.0,,398.0,,,0.7,5383.0,7682.0,2010.0,387396.0,,,None,,None,,None,,,,,,98125,0.988706642,0.99047619,0.972093023,0.987868284,,
53033000200.0,"Census Tract 2, King County, Washington",9.7,7.6,7.0,7.8,7.9,9.5,7.4,4.5,3.9,2.3,2.4,2.4,2.9,15.0,621.0,4075.0,48.0,1734.0,3633.0,,49.3,,54797.0,1899,44.0,3633.0,1615.0,554.0,254.0,15.0,92.0,193.0,358700.0,160.0,1433.0,286.0,168.0,979.0,,398.0,,,0.7,5383.0,7682.0,2010.0,387396.0,,,None,,None,,None,,,,,,98155,0.011293358,0.00952381,0.027906977000000003,0.012131716,,
53033000300.0,"Census Tract 3, King County, Washington",10.7,8.4,7.7,8.0,4.7,7.4,8.1,5.2,5.6,2.7,0.9,2.8,0.5,22.0,309.0,1403.0,45.0,486.0,1087.0,147.0,33.1,1919.0,64297.0,87604,44.0,1087.0,479.0,37.0,20.7,9.4,3.1,3.8,336300.0,27.0,174.0,37.0,88.0,34.0,15.0,143.0,127.0,16.0,0.71,1880.0,2637.0,2015.0,,-4.899999999999999,-37920.0,EligibleForGentrification,False,NotCurrentlyGentrifying,True,NotInDangerOfGentrifying,True,True,True,True,False,98133,0.855960265,0.8235294120000001,0.966101695,0.859635812,,
