,Unnamed: 0,Id,Geography,City,Percentage: Public transportation (excluding taxicab),Percentage: Nonfamily household,Married-couple family household with own children ,Percentage: bachelors degree or higher,Population 25 years and over,Median income,Percentage: Renter-occupied housing units,Renter Occupied Units,Renter-occupied housing units; MONTHLY HOUSING COSTS AS A PERCENTAGE OF HOUSEHOLD INCOME IN THE PAST 12 MONTHS - 30 percent or more,Median House value (dollars),Dwelling Units: - 3 or 4,Dwelling Units: -5 or more, 3 or more vehicles available,Percentage: Not Hispanic or Latino: - White ,Year,inflation_adj_median_house_value,increase_in_edu_attainment_2015,increase_in_house_value_2015,def_1,increase_in_home_price_distribution_2015,def_2
0,0,53033000100,"Census Tract 1, King County, Washington",Seattle,20,58,504.0,45.0,4454.0,44951,68,2319.0,26.2,410700,269,2170,405,0.58,2015,,-1.8999999999999986,-86600.0,EligibleForGentrification,false,NotCurrentlyGentrifying
1,1,53033000200,"Census Tract 2, King County, Washington",Seattle,17,42,473.0,52.7,5782.0,56208,46,1655.0,42.4,342400,97,1456,383,0.57,2015,,3.4000000000000057,-16300.0,EligibleForGentrification,false,NotCurrentlyGentrifying
2,2,53033000300,"Census Tract 3, King County, Washington",Seattle,22,45,147.0,33.1,1919.0,64297,44,479.0,37.0,336300,27,174,143,0.71,2015,,-4.899999999999999,-10200.0,EligibleForGentrification,false,NotCurrentlyGentrifying
3,3,53033000401,"Census Tract 4.01, King County, Washington",Seattle,14,65,177.0,39.4,4491.0,32472,70,2324.0,32.3,291400,88,2780,129,0.55,2015,,9.799999999999997,-50700.0,EligibleForGentrification,false,NotCurrentlyGentrifying
4,4,53033000402,"Census Tract 4.02, King County, Washington",Seattle,15,60,274.0,53.3,3542.0,62726,54,1251.0,45.5,405400,84,1044,410,0.77,2015,,12.5,18000.0,EligibleForGentrification,false,NotCurrentlyGentrifying
5,5,53033000500,"Census Tract 5, King County, Washington",Seattle,10,24,243.0,70.8,2542.0,125400,5,63.0,0.0,568400,0,0,272,0.86,2015,,8.5,-27700.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
6,6,53033000600,"Census Tract 6, King County, Washington",Seattle,18,46,513.0,46.0,5608.0,60131,48,1595.0,21.9,365000,68,1261,435,0.62,2015,,9.0,-1500.0,EligibleForGentrification,false,NotCurrentlyGentrifying
7,7,53033000700,"Census Tract 7, King County, Washington",Seattle,28,51,319.0,51.7,3505.0,51741,50,1087.0,28.0,323700,103,1054,222,0.57,2015,,-0.7999999999999972,-44100.0,EligibleForGentrification,false,NotCurrentlyGentrifying
8,8,53033000800,"Census Tract 8, King County, Washington",Seattle,17,35,197.0,59.7,2270.0,87222,26,269.0,37.9,419900,0,64,175,0.83,2015,,10.800000000000004,15700.0,HaveGentrified,false,NotCurrentlyGentrifying
9,9,53033000900,"Census Tract 9, King County, Washington",Seattle,15,36,200.0,76.9,1523.0,125109,16,138.0,31.9,628400,0,19,171,0.82,2015,,8.100000000000009,-58200.0,NotEligibleForGentrification,false,NotCurrentlyGentrifying
