Name,bg_id,tract_id,neighborhood,Year,Population,Population Density,Percent Families,Per Capita Household Income,Mean Household Income,Median Household Income,Ratio Mean over Median Income,perc_household_income_200k+,perc_household_income_150-200k,perc_household_income_125-150k,perc_household_income_100-125k,perc_household_income_75-100k,perc_household_income_50-75k,perc_household_income_35-50k,perc_household_income_25-35k,perc_household_income_15-25k,perc_households_income_under_15k,Percent White Non-Hispanic,Percent White Non-Hispanic Households,Percent Vacant Units,Percent Renter Occupied,perc_homes_over_1000000,perc_homes_750-1000k,perc_homes_500-$750k,perc_homes_400-500k,perc_homes_300-400k,perc_homes_250-300k,perc_homes_200-250k,perc_homes_175-200k,perc_homes_150-175k,perc_homes_125-150k,perc_homes_100-125k,perc_homes_80-100k,Median Home Value,Median Rent,Percent Rent 250-499,Percent Rent 500-749,Percent Rent 750-999,Percent Rent 1000-1249,Percent Rent 1250-1499,Percent Rent 1500-1999,Percent Rent 2000+,Percent In Structure 3-4 Units,Percent in Structures w 5+ Units,Housing Units,Median Year Moved In,Percent Moved in 1990-1999,Percent Moved in 1980-1989,Percent Moved in 1970-1979,Percent Unemployed,"Percent Families, Married w Children Under 18",Percent Non-Married Families,Percent Household 3+ Vehicles,Percent Public Transportation to Work,Percent Bachelors Degree
BG0001001,530330001001,5303300010,Cedar Park,2017,1401,4056.4,80.3712,66294,156360.0,147165.0,1.062480889,27.1044,21.0438,16.33,5.3872,6.0606,10.6061,6.734,2.6936,2.1886,1.8519,73.5903,80.4714,5.8637,17.1717,11.9919,13.6179,27.2358,28.252,4.6748,10.3659,0.0,0.0,0.0,0.0,0.0,0.0,526119.0,1645.0,0.0,0.0,0.0,41.1765,0.0,30.3922,28.4314,0.0,0.0,631,2002,11.4478,18.8552,4.0404,3.7453,27.7778,15.404000000000002,8.7543,11.9326,70.9174
BG0001002,530330001002,5303300010,Cedar Park,2017,1393,12510.2,66.4034,22098,45203.0,30000.0,1.506766667,0.1493,2.6866,4.4776,6.1194,6.7164,11.790999999999999,11.6418,12.8358,20.7463,22.8358,39.4831,49.2537,8.9674,84.6269,3.8835,0.0,0.0,0.0,47.5728,24.2718,24.2718,0.0,0.0,0.0,0.0,0.0,304000.0,819.0,0.0,11.8166,61.3757,5.4674,0.0,0.0,0.0,7.4728,60.461999999999996,736,2003,2.2388,0.4478,1.4925,3.7879,26.6458,42.0063,8.9552,31.7585,38.4134
BG0001003,530330001003,5303300010,Cedar Park,2017,1510,10548.9,59.1391,49403,94961.0,63849.0,1.487274664,11.8622,7.6531,1.148,8.801,12.6276,17.7296,13.648,6.3776,6.5051,13.648,52.9801,59.949,6.2201,68.75,0.0,0.0,4.0816,57.551,17.551,9.3878,11.4286,0.0,0.0,0.0,0.0,0.0,420423.0,781.0,2.4119,24.4898,34.6939,4.0816,3.154,12.2449,0.0,17.4641,42.5837,836,2003,2.551,4.5918,0.0,3.7457,26.4026,31.0231,8.9286,16.9811,42.0175
BG0001004,530330001004,5303300010,Cedar Park,2017,1687,34561.9,60.6402,20992,40565.0,33312.0,1.217729347,0.1145,1.4891,0.3436,2.52,8.362,16.0367,18.2131,17.5258,17.4112,17.984,30.3497,40.7789,7.2264,94.2726,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,670.0,2.6731,45.321999999999996,27.9465,4.2527,0.0,2.4301,0.0,3.2944,74.8141,941,2002,0.0,0.0,0.0,3.8335,25.3049,54.2683,8.8201,26.3098,20.8371
BG0001005,530330001005,5303300010,Cedar Park,2017,1063,11943.7,39.3227,40194,65394.0,54200.0,1.206531365,2.6398,4.5031,5.1242,9.9379,11.645999999999999,19.4099,12.2671,10.0932,11.1801,13.1988,50.6115,57.763999999999996,9.8039,90.8385,0.0,0.0,0.0,0.0,62.7119,37.2881,0.0,0.0,0.0,0.0,0.0,0.0,321053.0,957.0,0.0,7.6923,48.0342,16.5812,16.2393,8.8889,0.0,0.0,77.45100000000001,714,2002,1.7081,0.0,0.0,3.8864,16.5605,30.5732,8.5404,28.6159,37.1465
BG0002001,530330002001,5303300020,Olympic Hills,2017,1219,7663.3,76.3741,36312,90636.0,89113.0,1.01709066,7.6446,7.438,12.1901,17.1488,12.8099,11.3636,3.9256,4.9587,7.0248,15.4959,56.1936,66.7355,5.098,29.1322,0.0,0.0,6.414,16.3265,55.9767,16.035,0.0,0.0,5.2478,0.0,0.0,0.0,351295.0,891.0,0.0,14.8936,15.6028,0.0,17.0213,0.0,0.0,9.6078,3.5294,510,2004,5.5785,5.1653,2.0661,3.7398,31.7726,24.7492,10.7438,18.5811,53.7347
BG0002002,530330002002,5303300020,Victory Heights,2017,1521,7757.7,74.096,24906,60542.0,43571.0,1.389502192,2.4194,6.6129,5.4839,8.0645,10.1613,14.3548,6.7742,7.0968,12.4194,26.6129,49.7699,58.871,5.7751,49.3548,0.0,0.0,0.0,37.8981,43.949,9.5541,0.0,0.0,0.0,0.0,0.0,0.0,372464.0,794.0,0.0,24.5098,33.3333,10.4575,0.0,0.0,3.5948,0.0,35.4104,658,2004,6.9355,10.8065,11.6129,3.7831,28.4574,25.266,10.6451,14.0236,48.5267
BG0002003,530330002003,5303300020,Pinehurst,2017,1681,4406.9,61.2136,43337,82717.0,67831.0,1.21945718,7.3227,7.3227,2.8604,12.1281,15.9039,15.5606,12.0137,12.4714,8.0092,6.4073,55.0863,64.4165,4.793,73.4554,0.0,0.0,7.3276,13.3621,26.7241,0.0,52.5862,0.0,0.0,0.0,0.0,0.0,247541.0,890.0,0.0,10.7477,57.7882,17.134,0.0,2.9595,0.0,4.4662,68.6274,918,2003,5.6064,0.9153,0.0,3.7797,24.6649,32.1716,10.7552,34.119,44.138999999999996
BG0002004,530330002004,5303300020,Pinehurst,2017,1192,8183.1,66.7785,36201,69815.0,64020.0,1.090518588,0.1626,4.065,8.2927,11.2195,15.7724,23.9024,16.9106,6.6667,2.7642,10.2439,61.9966,72.5203,5.3846,43.0894,0.0,0.0,0.0,11.1429,42.2857,15.4286,22.0,4.8571,4.2857,0.0,0.0,0.0,308108.0,1042.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,2.7692,51.2308,650,2004,6.5041,4.2276,6.3415,3.8285,21.0345,23.4483,11.0569,8.121,40.0848
BG0002005,530330002005,5303300020,Pinehurst,2017,1483,7840.8,62.7782,37202,71446.0,51923.0,1.375999076,7.5697,2.2576,8.3665,7.1713,11.9522,13.6786,8.3665,11.6866,12.749,16.2019,60.7552,69.9867,3.7084,49.5352,0.0,0.0,18.6842,17.1053,9.2105,16.3158,9.2105,19.4737,5.7895,0.0,0.0,0.0,284677.0,904.0,13.4048,6.9705,34.0483,18.7668,0.0,12.6005,0.0,7.6726,43.2225,782,2003,2.9216,8.3665,4.2497,3.7394,25.9587,25.3687,10.6242,9.7744,44.0925
