tract_id,neighborhood,larger_neighborhood,num_college_2000,perc_college_2000,num_grad_deg_2000,perc_grad_deg_2000,perc_bachelor_deg_2010,num_bachelor_deg_2010,num_prof_deg_2010,perc_prof_deg_2010,num_college_masters_PhD_2010,perc_college_masters_PhD_2010,perc_bachelor_deg_2011,num_bachelor_deg_2011,num_prof_deg_2011,perc_prof_deg_2011,num_college_masters_PhD_2011,perc_college_masters_PhD_2011,perc_bachelor_deg_2012,num_bachelor_deg_2012,num_prof_deg_2012,perc_prof_deg_2012,num_college_masters_PhD_2012,perc_college_masters_PhD_2012,perc_bachelor_deg_2013,num_bachelor_deg_2013,num_prof_deg_2013,perc_prof_deg_2013,num_college_masters_PhD_2013,perc_college_masters_PhD_2013,perc_bachelor_deg_2014,num_bachelor_deg_2014,num_prof_deg_2014,perc_prof_deg_2014,num_college_masters_PhD_2014,perc_college_masters_PhD_2014,perc_bachelor_deg_2015,num_bachelor_deg_2015,num_prof_deg_2015,perc_prof_deg_2015,num_college_masters_PhD_2015,perc_college_masters_PhD_2015,perc_bachelor_deg_2016,num_bachelor_deg_2016,num_prof_deg_2016,perc_prof_deg_2016,num_college_masters_PhD_2016,perc_college_masters_PhD_2016,num_bachelor_deg_2017,perc_bachelor_deg_2017,"# Education Attainment,prof_deg_2017","% Education Attainment,prof_deg_2017",num_college_masters_PhD_2017,perc_college_masters_PhD_2017
530330001001,Cedar Park,Lake City,285,28.9047,377,38.2353,24.6305,250,91,8.9655,597,58.8177,24.6405,257,95,9.1083,617,59.1563,31.3008,308,84,8.5366,649,65.9553,30.9901,313,189,18.7129,678,67.1287,40.2871,421,120,11.4833,731,69.9522,40.9479,432,116,10.9953,746,70.7109,41.0946,443,118,10.9462,766,71.0575,449,41.1927,123,11.2844,773,70.9174
530330001002,Cedar Park,Lake City,177,20.4388,113,13.0485,19.869,182,0,0,273,29.8035,20.0662,182,0,0,272,29.989,29.3224,251,0,0,409,47.7804,27.2316,241,0,0,365,41.2429,27.0455,238,0,0,326,37.0455,27.8204,254,0,0,347,38.0066,27.9616,262,0,0,357,38.1003,269,28.0793,0,0,368,38.4134
530330001003,Cedar Park,Lake City,109,25.2315,104,24.0741,26.4826,259,55,5.6237,347,35.4806,26.8463,269,56,5.5888,359,35.8283,20.4523,208,149,14.6509,330,32.4484,20.5797,213,135,13.0435,308,29.7585,30.9125,332,46,4.2831,438,40.7821,31.5257,343,45,4.136,450,41.3603,31.7816,355,46,4.1182,466,41.7189,366,32.1053,48,4.2105,479,42.0175
530330001004,Cedar Park,Lake City,82,10,66,8.0488,12.8099,124,0,0,291,30.062,12.9363,126,0,0,296,30.3901,13.1098,129,0,0,288,29.2683,13.7931,140,0,0,265,26.1084,11.1969,116,0,0,206,19.8842,11.491,121,0,0,217,20.6078,11.4339,122,0,0,218,20.4311,129,11.7379,0,0,229,20.8371
530330001005,Cedar Park,Lake City,165,25.5023,156,24.1113,26.5971,204,43,5.6063,272,35.4628,26.4858,205,44,5.6848,274,35.4005,41.2104,286,32,4.611,337,48.5591,35.5811,248,32,4.5911,291,41.7504,31.5789,222,32,4.5519,253,35.9886,32.0375,239,32,4.2895,271,36.3271,32.2325,244,33,4.3593,277,36.5918,254,32.6478,36,4.6272,289,37.1465
530330002001,Olympic Hills,Lake City,168,21.9895,140,18.3246,26.4249,204,13,1.6839,314,40.6736,26.5985,208,14,1.7903,321,41.0486,30.3704,246,13,1.6049,408,50.3704,28.1518,230,21,2.5704,356,43.5741,36.4508,304,26,3.1175,436,52.2782,36.9767,318,26,3.0233,455,52.907,37.2526,320,25,2.9104,456,53.085,338,37.6812,27,3.01,482,53.7347
530330002002,Victory Heights,Lake City,205,30.1471,79,11.6176,33.2373,346,2,0.1921,508,48.7992,33.3652,349,2,0.1912,513,49.044,30.8411,297,0,0,493,51.1942,30.2852,308,0,0,559,54.9656,29.4059,297,0,0,472,46.7327,29.9522,313,0,0,496,47.4641,30.1676,324,0,0,513,47.7654,333,30.663,0,0,527,48.5267
530330002003,Pinehurst,Northgate,278,25.4579,147,13.4615,27.3451,309,61,5.3982,456,40.354,27.5862,320,62,5.3448,472,40.6897,31.016,348,0,0,509,45.3654,35.0258,407,0,0,538,46.2995,32.9852,379,33,2.8721,491,42.7328,33.7748,408,34,2.8146,526,43.543,34.055,409,33,2.7477,527,43.8801,424,34.2765,37,2.9911,546,44.139
530330002004,Pinehurst,Northgate,232,27.5862,141,16.7658,25.3149,201,67,8.4383,286,36.0201,25.5373,202,66,8.3439,289,36.536,33.2533,277,51,6.1224,366,43.9376,26.9099,236,47,5.3592,328,37.4002,31.5729,275,58,6.659,336,38.5763,32.3693,291,57,6.3404,355,39.4883,32.3944,299,58,6.2839,365,39.545,309,32.7678,61,6.4687,378,40.0848
530330002005,Pinehurst,Northgate,249,24.2218,119,11.5759,30.8824,336,10,0.9191,420,38.6029,31.0536,336,10,0.9242,420,38.817,34.1165,363,9,0.8459,493,46.3346,34.7628,381,17,1.5511,478,43.6131,35.0829,381,16,1.4733,461,42.4494,36.1413,399,16,1.4493,480,43.4783,36.1572,414,15,1.31,498,43.4934,428,36.6438,17,1.4555,515,44.0925
