WA00,COUNTY00,TRACT00,GEOID00,POP00,HU00,PART00,Area,AREALAND00,STATE10,COUNTY10,TRACT10,GEOID10,POP10,HU10,PART10,AREA10,AREALAND10,AREAPT,AREALANDPT,AREAPCT00PT,AREALANDPCT00PT,AREAPCT10PT,AREALANDPCT10PT,POP10PT,POPPCT00,POPPCT10,HU10PT,HUPCT00,HUPCT10
53,1,950100,53001950100,2447,1228,W,1623179439,1615431075,53,1,950100,53001950100,2447,1228,W,1623179439,1615431075,1623179439,1615431075,100,100,100,100,2447,100,100,1228,100,100
53,1,950200,53001950200,1738,844,W,2631767286,2629508563,53,1,950200,53001950200,1738,844,P,2631767561,2629508838,2631767286,2629508563,100,100,100,100,1738,100,100,844,100,100
53,1,950300,53001950300,6934,1910,W,727560321,724944109,53,1,950300,53001950300,6934,1910,P,727562815,724946603,727560321,724944109,100,100,100,100,6934,100,100,1910,100,100
53,1,950400,53001950400,2856,921,W,3396313,3396313,53,1,950400,53001950400,2856,921,W,3396313,3396313,3396313,3396313,100,100,100,100,2856,100,100,921,100,100
53,1,950500,53001950500,4753,1339,W,12385967,12385967,53,1,950500,53001950500,4753,1339,W,12385967,12385967,12385967,12385967,100,100,100,100,4753,100,100,1339,100,100
53,3,980100,53003980100,4304,1941,W,1348600904,1340252473,53,3,960100,53003960100,4304,1941,W,1348600904,1340252473,1348600904,1340252473,100,100,100,100,4304,100,100,1941,100,100
53,3,980200,53003980200,4542,2072,W,297583673,295227340,53,3,960200,53003960200,4542,2072,W,297583673,295227340,297583673,295227340,100,100,100,100,4542,100,100,2072,100,100
53,3,980300,53003980300,3775,1814,W,4636342,3966696,53,3,960300,53003960300,3775,1814,W,4636342,3966696,4636342,3966696,100,100,100,100,3775,100,100,1814,100,100
53,3,980400,53003980400,2165,970,W,1586752,1586752,53,3,960400,53003960400,2165,970,W,1586752,1586752,1586752,1586752,100,100,100,100,2165,100,100,970,100,100
53,3,980500,53003980500,3424,1584,W,1850664,1850664,53,3,960500,53003960500,3424,1584,W,1850664,1850664,1850664,1850664,100,100,100,100,3424,100,100,1584,100,100
53,3,980600,53003980600,3413,1491,W,5000813,4900087,53,3,960600,53003960600,3413,1491,W,5000813,4900087,5000813,4900087,100,100,100,100,3413,100,100,1491,100,100
53,5,10100,53005010100,4448,1870,W,10472392,6468241,53,5,10100,53005010100,4448,1870,W,10472392,6468241,10472392,6468241,100,100,100,100,4448,100,100,1870,100,100
53,5,10201,53005010201,4295,1832,W,44622350,43526965,53,5,10201,53005010201,4295,1832,W,44622350,43526965,44622350,43526965,100,100,100,100,4295,100,100,1832,100,100
53,5,10202,53005010202,6060,3073,W,5224309,5224309,53,5,10202,53005010202,6060,3073,W,5224309,5224309,5224309,5224309,100,100,100,100,6060,100,100,3073,100,100
53,5,10300,53005010300,5010,2251,W,6095927,5723041,53,5,10300,53005010300,5010,2251,P,6148235,5723041,6095927,5723041,100,100,99.15,100,5010,100,100,2251,100,100
53,5,10400,53005010400,3617,1563,W,1502237,1502237,53,5,10400,53005010400,3617,1563,W,1502237,1502237,1502237,1502237,100,100,100,100,3617,100,100,1563,100,100
53,5,10500,53005010500,3022,1130,W,2603013,2603013,53,5,10500,53005010500,3022,1130,W,2603013,2603013,2603013,2603013,100,100,100,100,3022,100,100,1130,100,100
53,5,10600,53005010600,4296,1832,W,9609552,7832833,53,5,10600,53005010600,4296,1832,W,9609552,7832833,9609552,7832833,100,100,100,100,4296,100,100,1832,100,100
53,5,10700,53005010700,15140,5610,P,110061599,107406455,53,5,10300,53005010300,5010,2251,P,6148235,5723041,52308,0,0.05,0,0.85,0,0,0,0,0,0,0
53,5,10700,53005010700,15140,5610,P,110061599,107406455,53,5,10701,53005010701,2138,803,W,37300648,36825242,37300648,36825242,33.89,34.29,100,100,2138,14.12,100,803,14.31,100
53,5,10700,53005010700,15140,5610,P,110061599,107406455,53,5,10703,53005010703,2803,1182,W,50714843,49081106,50714843,49081106,46.08,45.7,100,100,2803,18.51,100,1182,21.07,100
53,5,10700,53005010700,15140,5610,P,110061599,107406455,53,5,10705,53005010705,5268,1816,W,7448970,7378319,7448970,7378319,6.77,6.87,100,100,5268,34.8,100,1816,32.37,100
53,5,10700,53005010700,15140,5610,P,110061599,107406455,53,5,10707,53005010707,2491,860,W,5580327,5580327,5580327,5580327,5.07,5.2,100,100,2491,16.45,100,860,15.33,100
53,5,10700,53005010700,15140,5610,P,110061599,107406455,53,5,10708,53005010708,2440,949,W,8659809,8541461,8659809,8541461,7.87,7.95,100,100,2440,16.12,100,949,16.92,100
53,5,10700,53005010700,15140,5610,P,110061599,107406455,53,5,10803,53005010803,6690,2625,P,11822045,11439243,304694,0,0.28,0,2.58,0,0,0,0,0,0,0
53,5,10801,53005010801,16312,6155,P,235519836,235519836,53,5,10807,53005010807,1082,372,W,97486847,97486847,97486847,97486847,41.39,41.39,100,100,1082,6.63,100,372,6.04,100
53,5,10801,53005010801,16312,6155,P,235519836,235519836,53,5,10811,53005010811,3100,1098,W,23142527,23142527,23142527,23142527,9.83,9.83,100,100,3100,19,100,1098,17.84,100
53,5,10801,53005010801,16312,6155,P,235519836,235519836,53,5,10813,53005010813,9288,3765,P,20535288,20535288,19970644,19970644,8.48,8.48,97.25,97.25,9286,56.93,99.98,3764,61.15,99.97
53,5,10801,53005010801,16312,6155,P,235519836,235519836,53,5,10814,53005010814,2844,921,W,94919818,94919818,94919818,94919818,40.3,40.3,100,100,2844,17.44,100,921,14.96,100
53,5,10803,53005010803,6690,2625,W,11517351,11439243,53,5,10803,53005010803,6690,2625,P,11822045,11439243,11517351,11439243,100,100,97.42,100,6690,100,100,2625,100,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10805,53005010805,5917,2576,W,13025019,10924720,13025019,10924720,55.91,51.54,100,100,5917,35.9,100,2576,35.54,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10809,53005010809,6015,2614,W,3817874,3817874,3817874,3817874,16.39,18.01,100,100,6015,36.49,100,2614,36.06,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10810,53005010810,4548,2058,W,5889425,5889425,5889425,5889425,25.28,27.78,100,100,4548,27.59,100,2058,28.39,100
53,5,10804,53005010804,16482,7249,P,23296962,21196663,53,5,10813,53005010813,9288,3765,P,20535288,20535288,564644,564644,2.42,2.66,2.75,2.75,2,0.01,0.02,1,0.01,0.03
53,5,10901,53005010901,6177,2376,W,7735701,7335272,53,5,10901,53005010901,6177,2376,W,7735701,7335272,7735701,7335272,100,100,100,100,6177,100,100,2376,100,100
53,5,10902,53005010902,4907,1896,W,2563578,2563578,53,5,10902,53005010902,4907,1896,W,2563578,2563578,2563578,2563578,100,100,100,100,4907,100,100,1896,100,100
53,5,11001,53005011001,4975,2166,W,5792858,4338765,53,5,11001,53005011001,4975,2166,W,5792858,4338765,5792858,4338765,100,100,100,100,4975,100,100,2166,100,100
53,5,11002,53005011002,4475,1923,W,2963068,2963068,53,5,11002,53005011002,4475,1923,W,2963068,2963068,2963068,2963068,100,100,100,100,4475,100,100,1923,100,100
53,5,11100,53005011100,7365,2722,W,5167027,5167027,53,5,11100,53005011100,7365,2722,W,5167027,5167027,5167027,5167027,100,100,100,100,7365,100,100,2722,100,100
53,5,11200,53005011200,8552,2981,W,2516756,2516756,53,5,11200,53005011200,8552,2981,W,2516756,2516756,2516756,2516756,100,100,100,100,8552,100,100,2981,100,100
53,5,11300,53005011300,5137,1910,P,7343257,5597947,53,5,11300,53005011300,5067,1881,W,6995990,5250680,6995990,5250680,95.27,93.8,100,100,5067,98.64,100,1881,98.48,100
53,5,11300,53005011300,5137,1910,P,7343257,5597947,53,5,11401,53005011401,3810,1392,P,2295638,2295638,14506,14506,0.2,0.26,0.63,0.63,10,0.19,0.26,4,0.21,0.29
