Name, Population,Median Household Income,"Housing, Median Value Owner Households ($)","Percentage: Education Attainment, Bachelor's Degree]","Housing, Median Rent ($)","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w/ 3-4 Units","Percentage: Housing, Occupied Structure w/ 5+ Units",Percentage: Households w/ 3 Vehicles,Percentage: Households w/ 4+ Vehicles,"Percentage: Families, Married w/ Children Under 18, 2010"," Total Households, 2010",Year,,,," Total Households, 2011"," Total Households, 2012"," Total Households, 2013"," Total Households, 2014"," Total Households, 2015"," Total Households, 2016"," Total Households, 2020"
"BG0001001, King County, WA",1250,141810,660354,24.6305,0,6.7751,77.52,565,0,0,0,8.7121,1.7046,33.3333,1663,2010,,,,,,,,,,
"BG0001002, King County, WA",1234,33316,338235,19.869,771,16.5488,45.7861,658,83.4179,0,78.2675,8.7987,1.5228,15.8798,1573,2010,,,,,,,,,,
"BG0001003, King County, WA",1337,48703,417188,26.4826,864,16.5173,58.19,744,72.7931,6.0484,61.5592,8.8278,1.4472,27.7512,1416,2010,,,,,,,,,,
"BG0001004, King County, WA",1492,29392,0,12.8099,694,32.6877,35.6568,838,100,3.6993,89.4989,8.8427,1.5605,12.7424,1319,2010,,,,,,,,,,
"BG0001005, King County, WA",942,48882,415385,26.5971,863,16.5563,56.051,638,72.8395,5.9561,61.4421,8.642,1.5873,27.4854,1293,2010,,,,,,,,,,
"BG0002001, King County, WA",1086,61218,361151,26.4249,1173,16,61.326,455,39.3939,10.1099,4.1758,7.6923,3.2634,41.7219,1277,2010,,,,,,,,,,
"BG0002002, King County, WA",1360,57863,354698,33.2373,813,19.2469,55.1471,590,60.3261,0,32.8814,7.7899,3.2609,29.003,1212,2010,,,,,,,,,,
"BG0002003, King County, WA",1509,48071,334967,27.3451,875,20.5275,60.2386,826,69.3982,0,76.3923,7.6825,3.5852,13.9013,1204,2010,,,,,,,,,,
"BG0002004, King County, WA",1053,69413,330061,25.3149,877,15.7454,66.5717,576,25.3235,5.9028,44.2708,7.7634,3.3272,12.1311,1187,2010,,,,,,,,,,
"BG0002005, King County, WA",1324,49187,349065,30.8824,738,17.8905,65.6344,698,47.5336,8.0229,52.2921,7.7728,3.2885,26.3941,1131,2010,,,,,,,,,,
"BG0002006, King County, WA",1314,83953,354839,39.479,580,13.0868,71.7656,553,12.334,0,4.7016,7.7799,3.2258,58.8556,1104,2010,,,,,,,,,,
"BG0003001, King County, WA",1258,75431,340748,30.3433,735,15.4993,67.7265,507,21.2679,0,6.7061,9.6115,6.135,30.7692,1097,2010,,,,,,,,,,
