Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,"Housing, Median Value Owner Households",Percentage: Education Attainment Bachelors Degree,"Housing, Median Rent","Percentage: Employment, Public Transportation to Work",Percentage: White Non-Hispanic Population," Housing, Units","Percentage: Housing, Renter Occupied","Percentage: Housing, Occupied Structure w 3-4 Units","Percentage: Housing, Occupied Structure w 5+ Units",Percentage: Households w 3 Vehicles,Percentage: Households w 4+ Vehicles,"Percentage: Families, Married w Children Under 18",Total Households,Year
530330001001,Cedar Park,Lake City,BG0001001,1250,141810,660354,24.63,0,6.78,77.52,565,0,0,0,8.71,1.7,33.33,1663,2010
530330001002,Cedar Park,Lake City,BG0001002,1234,33316,338235,19.87,771,16.55,45.79,658,83.42,0,78.27,8.8,1.52,15.88,1573,2010
530330001003,Cedar Park,Lake City,BG0001003,1337,48703,417188,26.48,864,16.52,58.19,744,72.79,6.05,61.56,8.83,1.45,27.75,1416,2010
530330001004,Cedar Park,Lake City,BG0001004,1492,29392,0,12.81,694,32.69,35.66,838,100,3.7,89.5,8.84,1.56,12.74,1319,2010
530330001005,Cedar Park,Lake City,BG0001005,942,48882,415385,26.6,863,16.56,56.05,638,72.84,5.96,61.44,8.64,1.59,27.49,1293,2010
530330002001,Olympic Hills,Lake City,BG0002001,1086,61218,361151,26.42,1173,16,61.33,455,39.39,10.11,4.18,7.69,3.26,41.72,1277,2010
530330002002,Victory Heights,Lake City,BG0002002,1360,57863,354698,33.24,813,19.25,55.15,590,60.33,0,32.88,7.79,3.26,29,1212,2010
530330002003,Pinehurst,Northgate,BG0002003,1509,48071,334967,27.35,875,20.53,60.24,826,69.4,0,76.39,7.68,3.59,13.9,1204,2010
530330002004,Pinehurst,Northgate,BG0002004,1053,69413,330061,25.31,877,15.75,66.57,576,25.32,5.9,44.27,7.76,3.33,12.13,1187,2010
530330002005,Pinehurst,Northgate,BG0002005,1324,49187,349065,30.88,738,17.89,65.63,698,47.53,8.02,52.29,7.77,3.29,26.39,1131,2010
530330002006,Olympic Hills,Lake City,BG0002006,1314,83953,354839,39.48,580,13.09,71.77,553,12.33,0,4.7,7.78,3.23,58.86,1104,2010
530330003001,Haller Lake,Northgate,BG0003001,1258,75431,340748,30.34,735,15.5,67.73,507,21.27,0,6.71,9.61,6.14,30.77,1097,2010
530330003002,Haller Lake,Northgate,BG0003002,1345,60631,336222,25.48,728,19.58,60.52,654,26.62,0,7.34,9.65,5.99,27.08,1091,2010
530330004011,Haller Lake,Northgate,BG0004011,2842,38624,279131,28.52,765,5.12,52.99,1935,62.94,6.1,57.36,4.83,1.02,13.61,1084,2010
530330004012,Bitter Lake,Seattle,BG0004012,1442,72243,393802,17.35,826,14.07,65.74,716,57.98,1.68,36.45,4.82,1.05,43.49,1076,2010
530330004013,Bitter Lake,Seattle,BG0004013,1267,22500,283882,18.09,405,13.77,74.82,1063,76.25,2.63,84.29,4.68,1.11,46.27,1073,2010
530330004021,Bitter Lake,Seattle,BG0004021,1221,52669,403896,26.31,932,19.97,73.63,569,63.33,0,53.25,6.81,1.51,40.42,1069,2010
