Id,neighborhood,larger_neighborhood,Name, Population,Median Household Income,Median Home Value,Percent Bachelors Degree,Median Rent,Percent Public Transportation to Work,Percent White Non-Hispanic, Housing Units,Percent Renter Occupied,Percent Occupied Structure w 3-4 Units,Percent Occupied Structure w 5+ Units,Percent Households w 3 Vehicles,Percent Households w 4+ Vehicles,"Percent Families, Married w Children Under 18", Total Households,Year,tract_id,median_houseprice_with_imputation,median_rent_with_imputation,median_income_by_year,median_housevalue_by_year,median_income_40th_perc_by_year,median_housevalue_40th_perc_by_year,Education_Attainment_Bachelors_Degree,increase_in_edu_attainment,increase_in_edu_attainment_top_3rd_percentile_by_year,increase_in_median_housevalue,increase_in_housevalue_top_3rd_percentile_by_year,def_1,median_income_40_percent_by_year,increase_in_median_rent,median_of_increase_in_rent_by_year,housevalue_distribution_current_year,housevalue_distribution_past_year,def_2,workers_taking_transit,increase_in_workers_taking_transit,dwelling_units_with_5+_units,increase_in_dwelling_units_with_5_plus_units,dwelling_units_with_3-4_units,increase_in_dwelling_units_with_3_4_units,renter_occupied,increase_in_renter_occupied,households_with_3_plus_cars,decrease_in_households_with_3_plus_cars,married_couples_with_children,decrease_in_households_with_children,non_hispanic_whites,decrease_in_non_hispanic_whites,def3
530330001001,Cedar Park,Lake City,BG0001001,1250,141810,660354,24.63,0,6.78,77.52,565,0,0,0,8.71,1.7,33.33,1663,2010,5303300010,660354,638.4,69886.5,418602,62272.6,389955.6,308,0,0,0,0,None,27954.6,0,0,topHalf,None,NotCurrentlyGentrifying,85,None,0,None,0,None,0,None,173,None,554,None,969,None,None
530330001002,Cedar Park,Lake City,BG0001002,1234,33316,338235,19.87,771,16.55,45.79,658,83.42,0,78.27,8.8,1.52,15.88,1573,2010,5303300010,338235,771,69886.5,418602,62272.6,389955.6,245,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,204,None,515,None,0,None,549,None,162,None,250,None,565,None,None
530330001003,Cedar Park,Lake City,BG0001003,1337,48703,417188,26.48,864,16.52,58.19,744,72.79,6.05,61.56,8.83,1.45,27.75,1416,2010,5303300010,417188,864,69886.5,418602,62272.6,389955.6,354,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,221,None,458,None,45,None,542,None,146,None,393,None,778,None,None
530330001004,Cedar Park,Lake City,BG0001004,1492,29392,0,12.81,694,32.69,35.66,838,100,3.7,89.5,8.84,1.56,12.74,1319,2010,5303300010,366232.4,694,69886.5,418602,62272.6,389955.6,191,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,488,None,750,None,31,None,838,None,138,None,168,None,532,None,None
530330001005,Cedar Park,Lake City,BG0001005,942,48882,415385,26.6,863,16.56,56.05,638,72.84,5.96,61.44,8.64,1.59,27.49,1293,2010,5303300010,415385,863,69886.5,418602,62272.6,389955.6,251,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,156,None,392,None,38,None,465,None,133,None,355,None,528,None,None
530330002001,Olympic Hills,Lake City,BG0002001,1086,61218,361151,26.42,1173,16,61.33,455,39.39,10.11,4.18,7.69,3.26,41.72,1277,2010,5303300020,361151,1173,69886.5,418602,62272.6,389955.6,287,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,174,None,19,None,46,None,179,None,140,None,533,None,666,None,None
530330002002,Victory Heights,Lake City,BG0002002,1360,57863,354698,33.24,813,19.25,55.15,590,60.33,0,32.88,7.79,3.26,29,1212,2010,5303300020,354698,813,69886.5,418602,62272.6,389955.6,452,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,262,None,194,None,0,None,356,None,134,None,351,None,750,None,None
530330002003,Pinehurst,Northgate,BG0002003,1509,48071,334967,27.35,875,20.53,60.24,826,69.4,0,76.39,7.68,3.59,13.9,1204,2010,5303300020,334967,875,69886.5,418602,62272.6,389955.6,413,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,310,None,631,None,0,None,573,None,135,None,167,None,909,None,None
530330002004,Pinehurst,Northgate,BG0002004,1053,69413,330061,25.31,877,15.75,66.57,576,25.32,5.9,44.27,7.76,3.33,12.13,1187,2010,5303300020,330061,877,69886.5,418602,62272.6,389955.6,267,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,166,None,255,None,34,None,146,None,132,None,144,None,701,None,None
530330002005,Pinehurst,Northgate,BG0002005,1324,49187,349065,30.88,738,17.89,65.63,698,47.53,8.02,52.29,7.77,3.29,26.39,1131,2010,5303300020,349065,738,69886.5,418602,62272.6,389955.6,409,0,0,0,0,None,27954.6,0,0,bottomHalf,None,NotCurrentlyGentrifying,237,None,365,None,56,None,332,None,125,None,298,None,869,None,None
